,"('A', 0)","('A', 1)","('O', 0)","('O', 1)","('R', 0)","('R', 1)"
25425,1,1,1,1,0,1
25426,0,1,2,1,0,2
25427,0,1,1,0,0,2
25428,0,1,0,1,0,2
25429,1,1,0,0,0,1
25430,1,1,1,0,0,1
25431,1,1,0,0,0,1
25432,0,1,2,0,0,2
25433,0,1,2,0,0,2
25434,0,1,2,1,0,2
25435,1,1,0,0,0,1
25436,0,1,2,1,0,2
25437,1,0,1,2,0,0
25438,1,1,0,0,0,1
25439,0,1,2,0,0,2
25440,0,1,2,0,0,2
25441,1,1,1,0,0,1
25442,1,1,0,0,0,1
25443,1,0,0,2,0,0
25444,0,1,0,0,0,2
25445,1,1,1,0,0,1
25446,1,1,0,1,0,1
25447,0,1,2,0,0,2
25448,1,1,1,0,0,1
25449,0,1,2,1,0,2
25450,1,1,0,1,0,1
25451,1,1,0,0,0,1
25452,0,1,2,0,0,2
25453,0,1,2,1,0,2
25454,1,1,0,1,0,1
25455,0,1,2,0,0,2
25456,1,0,0,2,0,0
25457,0,1,0,1,0,2
25458,0,1,2,1,0,2
25459,1,1,0,0,0,1
25460,0,1,2,0,0,2
25461,1,1,1,2,0,1
25462,0,1,2,0,0,2
25463,0,1,0,1,0,2
25464,1,0,1,2,0,0
25465,0,1,2,0,0,2
25466,1,1,0,0,0,0
25467,1,0,0,2,0,0
25468,1,1,0,0,0,1
25469,1,0,0,2,0,0
25470,0,1,0,0,0,2
25471,1,1,0,1,0,1
25472,0,1,2,0,0,2
25473,1,1,0,1,0,1
25474,0,1,2,0,0,2
25475,1,1,0,0,0,0
25476,1,1,1,0,0,1
25477,0,1,2,0,0,2
25478,0,1,2,0,0,2
25479,1,1,0,0,0,0
25480,0,1,2,1,0,2
25481,1,1,0,0,0,1
25482,0,1,2,0,0,2
25483,0,1,0,1,0,2
25484,1,1,0,0,0,0
25485,1,0,1,2,0,0
25486,1,1,1,0,0,1
25487,1,1,0,0,0,1
25488,0,1,0,0,0,2
25489,0,1,2,0,0,2
25490,0,1,2,1,0,2
25491,1,1,1,1,0,1
25492,0,1,2,0,0,2
25493,0,1,2,0,0,2
25494,1,1,1,0,0,1
25495,1,1,0,2,0,0
25496,0,1,2,0,0,2
25497,1,0,0,2,0,0
25498,1,0,0,1,0,0
25499,0,1,2,0,0,2
25500,0,1,2,0,0,2
25501,1,1,0,0,0,1
25502,0,1,0,0,0,2
25503,1,0,0,2,0,0
25504,1,1,1,1,0,1
25505,1,1,1,0,0,0
25506,1,1,1,0,0,1
25507,0,1,2,1,0,2
25508,1,0,0,2,0,0
25509,1,1,0,0,0,0
25510,0,1,2,1,0,2
25511,0,1,1,0,0,2
25512,1,1,0,0,0,0
25513,1,1,1,0,0,1
25514,0,1,2,0,0,2
25515,0,1,0,1,0,2
25516,0,1,2,1,0,2
25517,1,1,0,1,0,1
25518,1,1,0,1,0,1
25519,1,1,0,1,0,0
25520,0,1,2,1,0,2
25521,1,1,0,1,0,1
25522,0,1,2,1,0,2
25523,1,1,0,0,0,1
25524,0,1,2,0,0,2
25525,1,1,0,0,0,1
25526,1,1,0,0,0,0
25527,1,1,1,0,0,0
25528,0,1,2,1,0,2
25529,0,1,2,0,0,2
25530,0,1,2,0,0,2
25531,0,1,0,0,0,2
25532,1,1,1,1,0,1
25533,1,1,0,0,0,0
25534,1,1,0,0,0,0
25535,1,1,0,0,0,1
25536,1,1,0,0,0,1
25537,0,1,2,0,0,2
25538,1,0,1,0,0,0
25539,0,1,2,0,0,2
25540,0,1,2,0,0,2
25541,0,1,2,1,0,2
25542,1,0,0,2,0,0
25543,0,1,0,0,0,2
25544,0,1,2,0,0,2
25545,1,1,0,1,0,0
25546,0,1,2,0,0,2
25547,0,1,2,0,0,2
25548,1,1,1,0,0,1
25549,0,1,2,0,0,2
25550,1,1,1,0,0,0
25551,0,1,2,1,0,2
25552,0,1,2,0,0,2
25553,1,1,0,1,0,1
25554,1,1,0,1,0,1
25555,1,0,0,2,0,0
25556,0,1,2,1,0,2
25557,1,1,0,0,0,0
25558,0,1,2,1,0,2
25559,0,1,0,0,0,2
25560,0,1,2,2,0,2
25561,1,0,0,2,0,0
25562,1,0,1,2,0,0
25563,0,1,2,0,0,2
25564,1,0,0,0,0,0
25565,1,1,1,1,0,1
25566,0,1,0,1,0,2
25567,0,1,2,0,0,2
25568,0,1,2,0,0,2
25569,1,1,1,0,0,1
25570,1,1,0,1,0,1
25571,0,1,2,1,0,2
25572,1,1,1,0,0,1
25573,0,1,2,0,0,2
25574,0,1,2,0,0,2
25575,1,1,1,0,0,0
25576,0,1,2,0,0,2
25577,0,1,1,0,0,2
25578,1,1,0,0,0,1
25579,1,1,1,0,0,0
25580,1,1,0,0,0,1
25581,1,1,0,1,0,0
25582,0,1,2,0,0,2
25583,1,1,0,1,0,0
25584,0,1,2,0,0,2
25585,0,1,2,0,0,2
25586,1,1,0,0,0,1
25587,1,1,0,0,0,1
25588,0,1,2,1,0,2
25589,1,1,0,1,0,1
25590,0,1,2,0,0,2
25591,0,1,2,1,0,2
25592,1,0,0,0,0,0
25593,0,1,2,0,0,2
25594,1,1,1,0,0,1
25595,0,1,0,1,0,2
25596,1,0,0,2,0,0
25597,0,1,2,1,0,2
25598,1,1,0,0,0,0
25599,0,1,2,0,0,2
25600,1,1,0,1,0,1
25601,0,1,2,1,0,2
25602,1,1,0,1,0,0
25603,1,1,0,0,0,1
25604,0,1,2,1,0,2
25605,0,1,2,0,0,2
25606,1,1,0,1,0,0
25607,0,1,2,1,0,2
25608,1,1,1,0,0,1
25609,0,1,2,0,0,2
25610,1,1,0,0,0,0
25611,0,1,2,0,0,2
25612,1,0,0,2,0,0
25613,1,1,0,0,0,1
25614,1,1,0,1,0,1
25615,0,1,2,0,0,2
25616,0,1,1,0,0,2
25617,0,1,1,0,0,2
25618,0,1,2,0,0,2
25619,1,1,0,0,0,1
25620,1,1,0,0,0,1
25621,0,1,2,1,0,2
25622,1,1,1,0,0,1
25623,1,0,0,2,0,0
25624,0,1,2,0,0,2
25625,0,1,2,1,0,2
25626,0,1,2,1,0,2
25627,1,0,0,2,0,0
25628,1,1,0,0,0,0
25629,0,1,1,0,0,2
25630,1,1,0,0,0,1
25631,0,1,0,0,0,2
25632,0,1,0,0,0,2
25633,0,1,2,0,0,2
25634,1,1,0,0,0,0
25635,0,1,0,1,0,2
25636,0,1,2,0,0,2
25637,1,0,0,2,0,0
25638,1,1,0,0,0,1
25639,0,1,0,0,0,2
25640,0,1,2,1,0,2
25641,1,1,0,0,0,0
25642,1,0,1,2,0,0
25643,0,1,2,0,0,2
25644,0,1,2,0,0,2
25645,0,1,2,0,0,2
25646,1,1,0,1,0,1
25647,0,1,2,0,0,2
25648,0,1,2,0,0,2
25649,0,1,2,1,0,2
25650,0,1,2,1,0,2
25651,0,1,2,0,0,2
25652,0,1,2,0,0,2
25653,0,1,2,1,0,2
25654,0,1,2,0,0,2
25655,0,1,0,1,0,2
25656,0,1,2,0,0,2
25657,1,1,1,0,0,1
25658,0,1,2,0,0,2
25659,0,1,2,2,0,2
25660,1,1,0,0,0,1
25661,1,1,0,1,0,1
25662,0,1,1,0,0,2
25663,0,1,2,1,0,2
25664,0,1,0,0,0,2
25665,0,1,2,1,0,2
25666,0,1,2,0,0,2
25667,1,1,0,0,0,1
25668,0,1,2,0,0,2
25669,0,1,2,1,0,2
25670,1,1,1,0,0,1
25671,0,1,2,1,0,2
25672,0,1,0,1,0,2
25673,1,1,0,0,0,1
25674,1,1,0,0,0,1
25675,0,1,0,0,0,2
25676,0,1,2,0,0,2
25677,0,1,2,1,0,2
25678,1,0,1,1,0,0
25679,1,1,0,0,0,0
25680,0,1,2,1,0,2
25681,1,1,0,0,0,1
25682,1,1,0,0,0,1
25683,1,0,0,0,0,0
25684,1,1,0,0,0,1
25685,1,1,0,1,0,0
25686,0,1,2,0,0,2
25687,1,1,1,1,0,1
25688,0,1,2,0,0,2
25689,0,1,2,1,0,2
25690,0,1,2,0,0,2
25691,0,1,2,0,0,2
25692,1,1,1,0,0,1
25693,0,1,0,0,0,2
25694,1,1,0,1,0,1
25695,0,1,2,0,0,2
25696,0,1,2,0,0,2
25697,1,1,0,1,0,1
25698,1,1,1,1,0,1
25699,1,1,0,0,0,1
25700,1,0,0,2,0,0
25701,1,1,0,0,0,1
25702,1,1,1,1,0,0
25703,1,1,0,1,0,0
25704,1,1,0,0,0,1
25705,1,1,0,0,0,1
25706,1,1,2,0,0,1
25707,0,1,2,0,0,2
25708,0,1,1,0,0,2
25709,1,1,0,0,0,1
25710,0,1,2,0,0,2
25711,1,1,0,1,0,0
25712,0,1,0,0,0,2
25713,1,1,1,0,0,1
25714,0,1,0,1,0,2
25715,1,1,0,0,0,1
25716,1,1,1,1,0,0
25717,0,1,2,0,0,2
25718,0,1,2,0,0,2
25719,0,1,2,1,0,2
25720,0,1,2,0,0,2
25721,0,1,2,0,0,2
25722,0,1,2,0,0,2
25723,0,1,2,0,0,2
25724,1,1,0,1,0,0
25725,1,0,0,2,0,0
25726,0,1,2,1,0,2
25727,0,1,2,0,0,2
25728,1,0,0,2,0,0
25729,1,0,0,2,0,0
25730,1,1,0,0,0,1
25731,0,1,2,1,0,2
25732,0,1,2,0,0,2
25733,1,1,1,0,0,1
25734,0,1,2,0,0,2
25735,1,0,0,1,0,0
25736,1,1,0,0,0,0
25737,1,1,0,0,0,0
25738,0,1,2,0,0,2
25739,0,1,2,0,0,2
25740,0,1,2,0,0,2
25741,1,1,1,0,0,1
25742,0,1,2,0,0,2
25743,0,1,2,1,0,2
25744,1,0,1,2,0,0
25745,0,1,2,0,0,2
25746,1,1,1,0,0,1
25747,1,1,0,0,0,1
25748,0,1,1,2,0,2
25749,1,1,0,1,0,1
25750,1,1,0,2,0,0
25751,1,1,0,1,0,1
25752,1,0,0,0,0,0
25753,0,1,2,0,0,2
25754,0,1,2,1,0,2
25755,1,1,0,2,0,1
25756,1,1,1,1,0,0
25757,1,1,0,1,0,1
25758,1,0,0,2,0,0
25759,1,1,0,1,0,1
25760,1,1,0,1,0,1
25761,1,1,0,0,0,1
25762,1,1,1,0,0,1
25763,1,0,0,2,0,0
25764,0,1,2,2,0,2
25765,1,1,0,1,0,1
25766,0,1,2,2,0,2
25767,0,1,0,0,0,2
25768,1,1,1,1,0,1
25769,1,1,0,1,0,1
25770,0,1,2,1,0,2
25771,1,0,0,2,0,0
25772,0,1,2,1,0,2
25773,1,1,0,1,0,1
25774,0,1,2,0,0,2
25775,1,1,0,0,0,1
25776,1,1,0,0,0,1
25777,1,1,0,0,0,1
25778,1,1,0,0,0,0
25779,1,0,0,2,0,0
25780,0,1,2,0,0,2
25781,1,1,0,0,0,1
25782,0,1,2,0,0,2
25783,1,1,1,0,0,0
25784,0,1,2,0,0,2
25785,0,1,2,1,0,2
25786,1,1,0,0,0,1
25787,1,1,0,0,0,1
25788,1,0,0,2,0,0
25789,0,1,2,0,0,2
25790,0,1,2,0,0,2
25791,0,1,2,1,0,2
25792,1,1,0,0,0,1
25793,1,0,0,2,0,0
25794,1,1,0,1,0,0
25795,0,1,2,0,0,2
25796,0,1,2,0,0,2
25797,1,1,0,1,0,0
25798,0,1,0,0,0,2
25799,0,1,2,0,0,2
25800,1,1,1,1,0,0
25801,0,1,2,0,0,2
25802,1,0,0,2,0,0
25803,1,1,1,0,0,1
25804,0,1,2,0,0,2
25805,0,1,2,0,0,2
25806,1,1,0,1,0,1
25807,1,1,2,1,0,1
25808,1,1,1,0,0,0
25809,0,1,2,0,0,2
25810,0,1,1,0,0,2
25811,0,1,2,0,0,2
25812,1,1,0,1,0,1
25813,1,1,0,0,0,0
25814,1,1,1,0,0,1
25815,0,1,2,0,0,2
25816,1,0,1,2,0,0
25817,1,1,0,0,0,1
25818,0,1,2,0,0,2
25819,1,1,1,0,0,1
25820,0,1,2,0,0,2
25821,1,1,0,1,0,0
25822,0,1,2,0,0,2
25823,0,1,2,1,0,2
25824,0,1,1,1,0,2
25825,0,1,2,0,0,2
25826,1,1,0,1,0,1
25827,1,1,2,1,0,1
25828,0,1,2,0,0,2
25829,1,1,0,1,0,1
25830,1,0,0,2,0,0
25831,1,1,0,1,0,0
25832,1,0,0,0,0,0
25833,1,1,0,1,0,1
25834,0,1,2,1,0,2
25835,1,1,0,1,0,1
25836,0,1,0,0,0,2
25837,1,0,0,2,0,0
25838,1,1,0,1,0,1
25839,0,1,2,2,0,2
25840,0,1,2,0,0,2
25841,1,1,0,0,0,1
25842,1,1,0,0,0,1
25843,0,1,2,0,0,2
25844,1,1,0,0,0,1
25845,0,1,2,1,0,2
25846,0,1,2,0,0,2
25847,1,1,0,0,0,1
25848,0,1,2,0,0,2
25849,0,1,2,0,0,2
25850,0,1,2,0,0,2
25851,1,1,1,1,0,1
25852,0,1,1,0,0,2
25853,0,1,2,0,0,2
25854,1,1,0,0,0,1
25855,0,1,2,0,0,2
25856,1,1,0,0,0,1
25857,1,1,0,0,0,0
25858,0,1,2,0,0,2
25859,1,0,0,2,0,0
25860,1,1,1,0,0,1
25861,0,1,1,0,0,2
25862,0,1,2,0,0,2
25863,0,1,2,1,0,2
25864,0,1,2,0,0,2
25865,1,0,0,2,0,0
25866,0,1,2,0,0,2
25867,1,1,0,0,0,0
25868,0,1,0,1,0,2
25869,0,1,2,0,0,2
25870,1,1,0,1,0,1
25871,0,1,2,0,0,2
25872,1,1,0,2,0,1
25873,0,1,2,0,0,2
25874,0,1,0,0,0,2
25875,1,1,0,1,0,1
25876,1,0,0,2,0,0
25877,1,1,0,0,0,0
25878,1,1,0,0,0,1
25879,0,1,2,0,0,2
25880,1,1,0,1,0,1
25881,0,1,0,0,0,2
25882,1,0,0,2,0,0
25883,0,1,2,0,0,2
25884,1,1,0,0,0,1
25885,0,1,2,0,0,2
25886,1,1,0,0,0,1
25887,1,1,0,0,0,0
25888,1,1,0,0,0,1
25889,0,1,0,0,0,2
25890,1,1,0,0,0,0
25891,0,1,2,1,0,2
25892,0,1,2,0,0,2
25893,0,1,2,1,0,2
25894,0,1,0,0,0,2
25895,1,1,1,0,0,0
25896,1,1,0,0,0,0
25897,0,1,2,0,0,2
25898,0,1,2,0,0,2
25899,1,1,0,0,0,1
25900,0,1,1,0,0,2
25901,1,1,0,0,0,1
25902,0,1,2,0,0,2
25903,1,1,0,0,0,1
25904,1,1,1,0,0,0
25905,0,1,2,0,0,2
25906,1,1,0,0,0,1
25907,1,1,0,1,0,0
25908,1,1,1,0,0,1
25909,0,1,2,0,0,2
25910,1,1,1,1,0,1
25911,1,0,0,2,0,0
25912,0,1,2,0,0,2
25913,0,1,0,0,0,2
25914,0,1,2,0,0,2
25915,1,0,1,2,0,0
25916,0,1,2,1,0,2
25917,0,1,2,0,0,2
25918,1,1,1,0,0,0
25919,0,1,2,0,0,2
25920,0,1,2,1,0,2
25921,0,1,2,0,0,2
25922,0,1,2,0,0,2
25923,1,1,0,0,0,1
25924,0,1,2,1,0,2
25925,1,1,0,0,0,0
25926,1,0,1,0,0,0
25927,1,1,0,1,0,1
25928,1,1,0,0,0,0
25929,1,1,0,0,0,0
25930,1,1,0,1,0,1
25931,1,0,0,2,0,0
25932,1,0,1,0,0,0
25933,0,1,2,0,0,2
25934,0,1,0,1,0,2
25935,1,1,0,1,0,1
25936,1,1,0,0,0,1
25937,0,1,2,0,0,2
25938,1,0,0,2,0,0
25939,1,1,0,0,0,1
25940,1,1,0,0,0,1
25941,0,1,1,1,0,2
25942,1,1,0,2,0,1
25943,1,1,0,0,0,1
25944,1,1,0,1,0,1
25945,1,1,1,1,0,1
25946,0,1,2,0,0,2
25947,1,1,0,1,0,1
25948,1,1,1,0,0,1
25949,0,1,2,1,0,2
25950,0,1,2,0,0,2
25951,1,1,0,0,0,1
25952,0,1,2,1,0,2
25953,0,1,2,0,0,2
25954,0,1,2,1,0,2
25955,0,1,0,0,0,2
25956,1,1,1,0,0,0
25957,1,1,0,0,0,1
25958,0,1,2,0,0,2
25959,0,1,1,0,0,2
25960,0,1,2,0,0,2
25961,1,1,0,0,0,1
25962,0,1,2,0,0,2
25963,1,1,0,1,0,0
25964,0,1,2,0,0,2
25965,1,1,0,0,0,0
25966,1,1,1,1,0,1
25967,1,1,0,0,0,1
25968,0,1,2,0,0,2
25969,1,1,0,1,0,1
25970,1,1,1,1,0,1
25971,1,1,0,1,0,1
25972,1,1,1,0,0,1
25973,0,1,2,1,0,2
25974,1,1,1,0,0,1
25975,1,0,0,2,0,0
25976,0,1,1,0,0,2
25977,1,1,0,0,0,1
25978,0,1,2,0,0,2
25979,0,1,2,0,0,2
25980,1,1,0,0,0,0
25981,0,1,2,1,0,2
25982,1,0,0,2,0,0
25983,0,1,2,0,0,2
25984,1,1,0,1,0,0
25985,1,1,1,0,0,0
25986,1,1,0,0,0,1
25987,0,1,2,1,0,2
25988,0,1,2,0,0,2
25989,0,1,2,0,0,2
25990,1,0,0,0,0,0
25991,0,1,2,0,0,2
25992,1,1,1,1,0,1
25993,0,1,2,0,0,2
25994,1,1,0,1,0,1
25995,0,1,1,0,0,2
25996,1,1,1,0,0,1
25997,1,1,0,1,0,0
25998,1,0,0,2,0,0
25999,0,1,2,0,0,2
26000,1,1,0,0,0,1
26001,0,1,1,1,0,2
26002,1,1,0,0,0,0
26003,0,1,2,0,0,2
26004,0,1,2,0,0,2
26005,1,1,0,0,0,1
26006,0,1,2,0,0,2
26007,1,1,0,0,0,1
26008,0,1,0,1,0,2
26009,1,1,1,0,0,0
26010,1,0,0,2,0,0
26011,0,1,2,0,0,2
26012,1,1,1,1,0,0
26013,1,1,1,1,0,1
26014,0,1,2,0,0,2
26015,0,1,2,0,0,2
26016,0,1,2,0,0,2
26017,1,1,0,0,0,1
26018,0,1,2,0,0,2
26019,0,1,2,1,0,2
26020,1,1,0,0,0,0
26021,0,1,0,1,0,2
26022,1,0,0,2,0,0
26023,1,0,1,2,0,0
26024,1,1,1,0,0,1
26025,1,1,0,0,0,1
26026,1,1,0,1,0,1
26027,1,1,0,1,0,1
26028,1,1,0,0,0,0
26029,0,1,2,0,0,2
26030,1,1,0,0,0,1
26031,0,1,2,0,0,2
26032,0,1,2,0,0,2
26033,0,1,2,0,0,2
26034,1,1,0,1,0,1
26035,0,1,2,1,0,2
26036,1,1,1,0,0,0
26037,0,1,2,1,0,2
26038,1,1,0,0,0,0
26039,0,1,2,0,0,2
26040,1,1,2,0,0,1
26041,0,1,2,1,0,2
26042,0,1,2,0,0,2
26043,0,1,2,0,0,2
26044,1,0,0,2,0,0
26045,0,1,2,0,0,2
26046,1,0,0,0,0,0
26047,0,1,0,0,0,2
26048,1,1,0,0,0,1
26049,1,1,0,0,0,0
26050,1,1,1,0,0,1
26051,1,1,1,1,0,1
26052,1,0,0,2,0,0
26053,0,1,2,0,0,2
26054,0,1,0,0,0,2
26055,0,1,2,0,0,2
26056,1,1,0,1,0,1
26057,1,1,0,0,0,1
26058,0,1,2,0,0,2
26059,0,1,2,0,0,2
26060,1,1,0,0,0,1
26061,0,1,2,1,0,2
26062,0,1,2,0,0,2
26063,1,1,0,0,0,0
26064,0,1,2,0,0,2
26065,1,1,1,0,0,1
26066,0,1,0,1,0,2
26067,0,1,2,1,0,2
26068,0,1,2,1,0,2
26069,0,1,2,0,0,2
26070,0,1,2,0,0,2
26071,0,1,2,1,0,2
26072,1,1,0,0,0,1
26073,1,1,1,1,0,1
26074,0,1,2,0,0,2
26075,0,1,2,0,0,2
26076,0,1,2,1,0,2
26077,1,1,0,0,0,1
26078,1,0,1,2,0,0
26079,0,1,0,0,0,2
26080,0,1,2,0,0,2
26081,0,1,0,0,0,2
26082,0,1,2,1,0,2
26083,0,1,2,0,0,2
26084,1,0,1,2,0,0
26085,1,0,0,2,0,0
26086,0,1,2,0,0,2
26087,1,0,0,2,0,0
26088,1,1,0,0,0,1
26089,0,1,2,1,0,2
26090,0,1,2,0,0,2
26091,1,1,0,0,0,1
26092,1,1,0,0,0,1
26093,1,0,1,2,0,0
26094,0,1,2,1,0,2
26095,0,1,0,0,0,2
26096,0,1,1,1,0,2
26097,0,1,2,0,0,2
26098,0,1,2,0,0,2
26099,1,1,2,0,0,1
26100,0,1,2,1,0,2
26101,0,1,2,0,0,2
26102,0,1,2,1,0,2
26103,1,1,1,0,0,1
26104,1,1,0,0,0,1
26105,0,1,2,0,0,2
26106,0,1,1,0,0,2
26107,0,1,2,1,0,2
26108,1,1,1,1,0,1
26109,1,1,0,0,0,1
26110,0,1,0,0,0,2
26111,0,1,2,1,0,2
26112,0,1,2,0,0,2
26113,1,0,0,2,0,0
26114,1,1,1,0,0,1
26115,1,1,1,0,0,1
26116,1,1,1,0,0,1
26117,0,1,2,1,0,2
26118,0,1,0,0,0,2
26119,1,1,0,0,0,1
26120,0,1,2,1,0,2
26121,0,1,0,0,0,2
26122,1,1,0,0,0,1
26123,1,1,0,0,0,1
26124,0,1,1,2,0,2
26125,0,1,2,1,0,2
26126,1,1,0,0,0,1
26127,0,1,2,1,0,2
26128,1,1,0,0,0,1
26129,0,1,2,0,0,2
26130,0,1,2,0,0,2
26131,0,1,2,0,0,2
26132,1,0,1,2,0,0
26133,0,1,0,1,0,2
26134,0,1,2,0,0,2
26135,1,0,0,0,0,0
26136,0,1,0,0,0,2
26137,0,1,2,0,0,2
26138,0,1,2,0,0,2
26139,0,1,2,0,0,2
26140,0,1,2,1,0,2
26141,1,1,0,0,0,1
26142,0,1,2,0,0,2
26143,0,1,2,1,0,2
26144,1,0,2,0,0,0
26145,0,1,2,0,0,2
26146,1,1,0,2,0,0
26147,0,1,2,1,0,2
26148,1,0,0,2,0,0
26149,1,1,1,0,0,1
26150,1,1,1,1,0,1
26151,0,1,0,0,0,2
26152,1,1,0,1,0,1
26153,1,1,0,0,0,0
26154,1,1,1,0,0,1
26155,1,1,1,0,0,1
26156,1,0,1,2,0,0
26157,1,1,0,0,0,1
26158,0,1,2,0,0,2
26159,1,1,0,0,0,1
26160,0,1,2,1,0,2
26161,1,1,0,0,0,1
26162,1,1,1,1,0,1
26163,1,1,0,0,0,1
26164,1,1,0,1,0,1
26165,0,1,2,1,0,2
26166,1,1,0,0,0,1
26167,0,1,2,0,0,2
26168,1,0,0,2,0,0
26169,0,1,2,0,0,2
26170,1,1,0,1,0,1
26171,1,1,0,0,0,0
26172,0,1,0,0,0,2
26173,1,1,1,1,0,0
26174,1,0,0,2,0,0
26175,0,1,2,0,0,2
26176,1,0,0,2,0,0
26177,0,1,2,0,0,2
26178,0,1,2,0,0,2
26179,0,1,2,0,0,2
26180,1,1,0,1,0,1
26181,0,1,2,1,0,2
26182,0,1,2,1,0,2
26183,1,1,0,0,0,1
26184,1,1,0,0,0,1
26185,1,1,0,0,0,0
26186,1,1,0,0,0,1
26187,0,1,2,0,0,2
26188,0,1,2,2,0,2
26189,1,1,0,1,0,1
26190,0,1,2,0,0,2
26191,1,0,0,0,0,0
26192,1,1,0,0,0,0
26193,1,0,1,2,0,0
26194,0,1,2,0,0,2
26195,1,1,1,1,0,1
26196,0,1,2,0,0,2
26197,1,0,0,2,0,0
26198,1,1,0,0,0,1
26199,0,1,2,0,0,2
26200,0,1,0,0,0,2
26201,0,1,2,0,0,2
26202,0,1,2,0,0,2
26203,0,1,2,0,0,2
26204,1,1,0,1,0,1
26205,1,1,0,0,0,1
26206,1,1,1,0,0,1
26207,0,1,2,0,0,2
26208,1,0,0,2,0,0
26209,1,1,0,0,0,0
26210,0,1,2,1,0,2
26211,0,1,0,0,0,2
26212,1,1,0,1,0,1
26213,1,1,0,0,0,0
26214,0,1,0,0,0,2
26215,1,0,0,0,0,0
26216,1,1,1,0,0,1
26217,0,1,2,0,0,2
26218,1,1,0,0,0,0
26219,0,1,2,1,0,2
26220,0,1,2,0,0,2
26221,1,1,1,1,0,0
26222,1,1,0,0,0,0
26223,1,1,0,0,0,1
26224,0,1,2,0,0,2
26225,0,1,2,0,0,2
26226,0,1,2,0,0,2
26227,1,1,0,0,0,1
26228,0,1,2,0,0,2
26229,0,1,0,0,0,2
26230,1,1,1,1,0,0
26231,0,1,2,0,0,2
26232,1,1,0,0,0,1
26233,1,1,0,0,0,1
26234,1,1,0,0,0,1
26235,0,1,2,0,0,2
26236,1,0,0,2,0,0
26237,1,1,0,1,0,1
26238,1,1,1,1,0,1
26239,1,0,1,0,0,0
26240,1,1,0,0,0,0
26241,0,1,2,0,0,2
26242,1,1,0,0,0,1
26243,1,1,0,0,0,1
26244,1,1,1,0,0,1
26245,1,1,0,1,0,0
26246,1,1,0,1,0,1
26247,1,1,0,0,0,1
26248,0,1,2,0,0,2
26249,0,1,0,0,0,2
26250,1,0,0,2,0,0
26251,1,1,0,0,0,0
26252,0,1,2,0,0,2
26253,1,1,0,0,0,1
26254,0,1,2,1,0,2
26255,1,1,0,1,0,1
26256,1,1,0,1,0,0
26257,0,1,2,1,0,2
26258,0,1,0,1,0,2
26259,1,1,0,0,0,0
26260,0,1,2,0,0,2
26261,0,1,2,0,0,2
26262,0,1,2,0,0,2
26263,0,1,2,1,0,2
26264,0,1,2,0,0,2
26265,1,1,0,0,0,1
26266,0,1,0,0,0,2
26267,1,1,0,0,0,1
26268,1,1,0,0,0,1
26269,0,1,2,0,0,2
26270,0,1,2,0,0,2
26271,0,1,2,1,0,2
26272,1,1,0,0,0,0
26273,0,1,2,0,0,2
26274,0,1,2,0,0,2
26275,0,1,2,0,0,2
26276,1,1,1,0,0,1
26277,1,1,0,1,0,1
26278,0,1,0,0,0,2
26279,1,1,1,0,0,0
26280,0,1,2,0,0,2
26281,0,1,0,1,0,2
26282,0,1,2,0,0,2
26283,0,1,2,0,0,2
26284,0,1,2,0,0,2
26285,1,1,0,1,0,0
26286,0,1,0,0,0,2
26287,1,0,0,2,0,0
26288,1,0,0,2,0,0
26289,0,1,2,0,0,2
26290,0,1,0,1,0,2
26291,0,1,2,0,0,2
26292,1,1,0,0,0,1
26293,1,0,0,2,0,0
26294,1,1,1,1,0,1
26295,1,0,0,2,0,0
26296,0,1,1,0,0,2
26297,0,1,2,0,0,2
26298,1,0,1,2,0,0
26299,1,1,1,1,0,0
26300,0,1,2,0,0,2
26301,1,0,0,2,0,0
26302,0,1,2,1,0,2
26303,1,1,0,0,0,1
26304,0,1,2,0,0,2
26305,1,1,0,1,0,1
26306,1,0,0,2,0,0
26307,1,1,1,1,0,0
26308,1,0,0,0,0,0
26309,1,1,1,0,0,1
26310,0,1,2,0,0,2
26311,0,1,2,0,0,2
26312,0,1,2,0,0,2
26313,1,1,1,0,0,1
26314,1,0,0,2,0,0
26315,0,1,2,0,0,2
26316,0,1,2,0,0,2
26317,1,1,0,1,0,1
26318,1,1,0,0,0,1
26319,1,1,0,1,0,1
26320,0,1,2,0,0,2
26321,0,1,2,0,0,2
26322,0,1,2,1,0,2
26323,1,0,1,2,0,0
26324,1,1,0,0,0,1
26325,1,1,0,0,0,1
26326,0,1,2,0,0,2
26327,1,0,0,0,0,0
26328,1,1,1,0,0,1
26329,0,1,2,0,0,2
26330,1,1,0,0,0,1
26331,0,1,0,1,0,2
26332,1,0,0,2,0,0
26333,0,1,2,0,0,2
26334,1,1,0,1,0,1
26335,1,1,1,0,0,1
26336,1,1,0,1,0,1
26337,0,1,0,1,0,2
26338,1,0,0,2,0,0
26339,0,1,2,0,0,2
26340,1,1,2,1,0,0
26341,1,1,0,1,0,1
26342,0,1,1,1,0,2
26343,0,1,2,0,0,2
26344,0,1,2,0,0,2
26345,1,1,1,0,0,1
26346,1,1,1,1,0,1
26347,0,1,2,0,0,2
26348,0,1,2,0,0,2
26349,0,1,2,1,0,2
26350,1,1,1,0,0,0
26351,1,1,0,0,0,1
26352,0,1,2,0,0,2
26353,1,1,0,0,0,1
26354,1,1,1,0,0,0
